Penrod,Shutler,1809325,1,3
Leigha,Corzor,1790789,2,0
Godfry,Corkel,1804513,3,1
Wylie,Halgarth,1817381,4,3
Vittorio,Wickardt,1805426,5,2
Ellswerth,Busk,1790856,6,2
Kenneth,Roggers,1795098,7,3
Spenser,Rodnight,1815400,8,1
Blake,Fenck,1801978,9,3
Goldie,Aldred,1802316,10,0
Fransisco,Jeenes,1816962,11,3
Shalne,Gilpin,1808577,12,2
Greggory,Coal,1795355,13,3
Darell,O'Carrol,1804468,14,1
Therese,Leverich,1804498,15,3
Ilaire,Bourchier,1818832,16,4
Tades,Staley,1812864,17,1
Maximilien,Maxworthy,1810024,18,2
Giraud,Chancellor,1817240,19,0
Kyle,Jeaffreson,1805035,20,3
Phylis,Tasseler,1802534,21,4
Ronald,Lammin,1814376,22,1
Bastien,Officer,1813262,23,0
Abel,Blaw,1808295,24,4
Gustave,Roels,1812508,25,0
Michaela,Mulderrig,1809816,26,2
Chloris,Ingley,1800081,27,2
Netta,Bodemeaid,1795121,28,0
Dulsea,Matthews,1790712,29,3
Torin,Heilds,1817575,30,0
Lexis,Frean,1809332,31,0
Gil,Linner,1791327,32,0
La verne,Arnull,1810014,33,0
Paul,Penberthy,1801186,34,3
Fritz,Imlacke,1813060,35,4
Catherin,Ghost,1804684,36,0
Catherina,Garz,1814329,37,2
Reinald,Cordaroy,1816835,38,0
Lowe,Pedrollo,1793507,39,0
Bordie,Rummer,1818493,40,4
Aguistin,Lettley,1815647,41,1
Allianora,Hawtry,1806285,42,2
Rodrigo,Gayther,1817023,43,2
Aleta,Muggleton,1793670,44,3
Romy,Di Nisco,1818757,45,2
Darsey,Andreazzi,1814698,46,1
Julissa,Mustin,1800935,47,4
Cyril,Rabat,1792773,48,4
Mariam,Piggford,1799862,49,3
Hinze,Berens,1791873,50,3
Liv,Mistry,1803156,51,0
Stearn,Normavell,1814314,52,2
